xflr5 v6.59
EPPLER 625 AIRFOIL
T1_Re0.020_M0.10_N9.0
Alpha =   0.0,  Re =    20000,  Ma = 0.1000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0000    0.668     0.457    -0.579    -0.738
 0.0003    0.401     0.143    -0.775    -0.926
 0.0009    0.093    -0.207    -0.953    -1.098
 0.0019   -0.249    -0.553    -1.117    -1.245
 0.0032   -0.627    -0.876    -1.274    -1.367
 0.0049   -0.826    -1.056    -1.349    -1.431
 0.0070   -0.814    -1.066    -1.345    -1.434
 0.0096   -0.685    -0.992    -1.296    -1.409
 0.0124   -0.546    -0.902    -1.242    -1.377
 0.0157   -0.482    -0.824    -1.216    -1.348
 0.0195   -0.466    -0.762    -1.210    -1.325
 0.0239   -0.461    -0.711    -1.208    -1.306
 0.0291   -0.454    -0.668    -1.205    -1.290
 0.0352   -0.439    -0.628    -1.198    -1.274
 0.0425   -0.412    -0.588    -1.187    -1.259
 0.0514   -0.377    -0.547    -1.172    -1.242
 0.0620   -0.346    -0.505    -1.159    -1.226
 0.0743   -0.312    -0.465    -1.145    -1.209
 0.0882   -0.282    -0.427    -1.131    -1.193
 0.1033   -0.253    -0.392    -1.119    -1.179
 0.1194   -0.230    -0.362    -1.109    -1.166
 0.1361   -0.211    -0.336    -1.100    -1.155
 0.1533   -0.194    -0.314    -1.092    -1.145
 0.1707   -0.180    -0.295    -1.086    -1.137
 0.1883   -0.168    -0.279    -1.080    -1.130
 0.2061   -0.160    -0.266    -1.077    -1.125
 0.2239   -0.156    -0.256    -1.075    -1.120
 0.2418   -0.152    -0.248    -1.073    -1.117
 0.2598   -0.151    -0.242    -1.072    -1.114
 0.2776   -0.152    -0.238    -1.073    -1.112
 0.2955   -0.152    -0.236    -1.073    -1.111
 0.3135   -0.155    -0.234    -1.074    -1.110
 0.3314   -0.159    -0.235    -1.076    -1.111
 0.3492   -0.164    -0.236    -1.078    -1.111
 0.3669   -0.168    -0.238    -1.080    -1.112
 0.3846   -0.172    -0.240    -1.082    -1.113
 0.4023   -0.177    -0.243    -1.084    -1.114
 0.4200   -0.181    -0.246    -1.086    -1.116
 0.4377   -0.185    -0.249    -1.088    -1.117
 0.4554   -0.189    -0.252    -1.090    -1.118
 0.4730   -0.193    -0.255    -1.092    -1.120
 0.4906   -0.196    -0.258    -1.093    -1.121
 0.5082   -0.200    -0.261    -1.095    -1.122
 0.5258   -0.203    -0.264    -1.096    -1.124
 0.5433   -0.206    -0.267    -1.098    -1.125
 0.5608   -0.209    -0.269    -1.099    -1.126
 0.5784   -0.212    -0.271    -1.101    -1.127
 0.5959   -0.216    -0.273    -1.102    -1.128
 0.6133   -0.219    -0.275    -1.104    -1.128
 0.6307   -0.223    -0.276    -1.105    -1.129
 0.6480   -0.226    -0.277    -1.107    -1.129
 0.6652   -0.228    -0.276    -1.108    -1.129
 0.6824   -0.229    -0.275    -1.108    -1.129
 0.6995   -0.229    -0.273    -1.108    -1.128
 0.7165   -0.228    -0.270    -1.108    -1.126
 0.7334   -0.225    -0.266    -1.106    -1.124
 0.7503   -0.218    -0.260    -1.103    -1.122
 0.7672   -0.208    -0.253    -1.099    -1.119
 0.7840   -0.198    -0.245    -1.094    -1.115
 0.8008   -0.186    -0.236    -1.088    -1.111
 0.8174   -0.170    -0.227    -1.081    -1.107
 0.8341   -0.149    -0.218    -1.071    -1.103
 0.8508   -0.123    -0.209    -1.059    -1.099
 0.8676   -0.095    -0.201    -1.046    -1.095
 0.8845   -0.062    -0.194    -1.030    -1.092
 0.9014   -0.026    -0.187    -1.013    -1.089
 0.9183    0.011    -0.182    -0.994    -1.087
 0.9352    0.052    -0.177    -0.974    -1.084
 0.9517    0.098    -0.172    -0.950    -1.082
 0.9674    0.148    -0.168    -0.924    -1.080
 0.9815    0.209    -0.165    -0.890    -1.079
 0.9934    0.291    -0.163    -0.843    -1.078
 1.0000    0.466    -0.162    -0.732    -1.078


