Name,GOE 226 (MVA H.36) AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100,0
94.955,1.771
89.913,3.393
79.83,6.686
69.757,9.529
59.701,11.722
49.66,13.316
39.644,13.961
29.644,13.956
19.68,12.552
14.714,11.225
9.765,9.199
7.299,7.886
4.841,6.253
2.393,4.211
1.174,2.98
0,0
1.29,-1.567
2.553,-2.085
5.062,-2.421
7.563,-2.457
10.059,-2.294
15.048,-1.886
20.033,-1.289
29.995,0.215
39.957,1.669
49.927,2.873
59.909,3.578
69.904,3.783
79.923,3.038
89.959,1.594
94.98,0.772
100,0
,
Camber line,
X(mm),Y(mm)
0,0
1.174,1.49
2.393,1.095811
4.841,1.930798
7.299,2.7164
9.765,3.4429
14.714,4.655843
19.68,5.610362
29.644,7.059004
39.644,7.792158
49.66,8.078378
59.701,7.642655
69.757,6.654492
79.83,4.865458
89.913,2.496809
94.955,1.273546
100,0
,
Chord line,
X(mm),Y(mm)
0,0
100,0
